,Weekend,Season,Weather,RoadCond,PoliceActivity,NoJourneys,Country,AvgSpeed,DangerLvl,NoAccidents,NoFatalities
0,holiday,fall,good,good,regular,low,UK,,low,high,medium
1,weekend,,bad,bad,regular,medium,Europe,low,low,medium,low
2,working,winter,bad,bad,regular,low,UK,high,low,low,high
3,weekend,spring,,good,regular,medium,UK,,low,low,low
4,weekend,spring,bad,bad,regular,low,US,high,low,low,high
5,working,winter,bad,bad,regular,medium,UK,low,low,low,low
6,working,winter,good,bad,regular,low,UK,low,low,low,medium
7,working,fall,good,good,regular,medium,US,low,low,medium,low
8,weekend,winter,,bad,regular,medium,UK,low,low,low,high
9,weekend,fall,good,bad,regular,low,Europe,low,,low,medium
10,working,spring,bad,bad,regular,medium,US,high,low,medium,high
11,working,fall,good,good,increased,medium,US,high,,low,low
12,working,fall,good,good,regular,low,UK,high,low,high,medium
13,working,spring,bad,bad,increased,medium,Europe,low,low,medium,low
14,working,fall,good,good,regular,medium,Europe,high,low,medium,low
15,working,summer,good,good,regular,medium,UK,high,low,low,medium
16,holiday,fall,bad,good,regular,medium,UK,high,low,high,high
17,working,fall,good,good,regular,medium,US,high,low,low,low
18,weekend,winter,bad,bad,regular,low,US,low,,medium,low
19,working,winter,bad,bad,regular,medium,Europe,low,low,low,low
20,weekend,fall,good,good,regular,low,US,high,low,low,low
21,working,fall,good,good,regular,medium,US,low,low,high,medium
22,working,spring,bad,bad,regular,medium,Europe,low,low,low,low
23,working,fall,good,good,regular,medium,UK,low,low,low,low
24,working,fall,good,good,regular,low,Europe,high,low,medium,medium
25,working,summer,good,bad,regular,medium,Europe,low,low,medium,medium
26,working,summer,good,good,regular,medium,Europe,low,low,high,medium
27,weekend,winter,bad,bad,,low,UK,low,low,medium,high
28,weekend,summer,good,good,regular,medium,Europe,low,low,medium,high
29,working,winter,good,bad,regular,medium,Europe,low,low,high,medium
30,weekend,spring,good,good,regular,medium,Europe,high,low,low,high
31,weekend,summer,good,good,regular,medium,US,low,low,,low
32,working,winter,bad,bad,regular,medium,Europe,low,low,low,low
33,weekend,fall,,bad,regular,low,Europe,high,low,low,low
34,working,spring,good,good,regular,medium,Europe,high,low,low,low
35,working,fall,good,good,regular,low,UK,high,low,medium,low
36,weekend,spring,good,good,regular,low,Europe,high,low,high,medium
37,working,spring,good,good,regular,low,Europe,high,,,low
38,working,fall,bad,good,regular,low,Europe,high,low,high,high
39,working,spring,good,good,regular,medium,UK,,low,low,low
40,working,summer,good,good,increased,medium,UK,low,low,medium,high
41,working,spring,bad,bad,regular,medium,Europe,low,low,medium,high
42,working,summer,good,good,regular,medium,US,high,low,low,low
43,working,spring,good,good,regular,medium,Europe,low,low,medium,high
44,working,winter,good,good,,low,US,low,low,low,low
45,working,fall,bad,bad,regular,,Europe,low,low,,low
46,working,spring,bad,bad,regular,medium,US,high,low,high,high
47,working,fall,good,bad,regular,medium,Europe,low,low,low,low
48,,fall,bad,bad,,low,US,,low,low,low
49,working,fall,bad,bad,regular,low,Europe,low,low,medium,
50,working,winter,good,good,regular,low,UK,high,low,medium,low
51,weekend,summer,good,good,regular,medium,Europe,,low,low,low
52,working,winter,bad,bad,regular,medium,UK,low,low,low,low
53,working,spring,bad,bad,regular,low,Europe,low,low,low,high
54,working,spring,good,bad,regular,,US,,,medium,high
55,weekend,winter,bad,good,regular,medium,US,high,low,low,low
56,weekend,,bad,bad,regular,low,US,low,low,low,low
57,working,winter,bad,good,regular,medium,UK,low,low,medium,low
58,working,summer,good,good,regular,medium,UK,high,,low,medium
59,working,fall,bad,bad,regular,medium,Europe,low,low,medium,low
60,holiday,winter,good,bad,,medium,Europe,low,low,low,
