c instance by G2
c solution = 0010100100011100110100001011001010110010101110000101001010101010101001000101010101011001111111000011
c Known solution cost is 105637 
p cnf 100 100
w 635 1759 300 617 864 949 1595 1445 163 1660 129 328 1554 798 1996 726 1176 763 1504 461 1179 1574 365 1940 1131 1072 1762 940 1803 1252 816 903 548 1494 1795 991 1247 905 1220 1837 1691 137 472 161 545 1787 1151 1995 1151 1370 728 1136 627 1921 1622 316 672 1921 1365 203 695 1591 1673 620 1177 505 876 339 373 1191 707 1695 1727 765 990 872 1966 1329 1452 526 756 1863 345 910 1643 600 1189 326 1736 984 1843 656 697 995 277 1918 881 663 148 971
88 64 -91 0
95 28 -91 0
-71 -88 40 0
-31 -49 -59 0
-72 -63 40 0
44 -82 -18 0
94 -78 47 0
36 -94 9 0
-61 -88 39 0
-74 -16 -36 0
95 -3 -2 0
91 53 83 0
32 33 37 0
96 95 13 0
45 68 -18 0
-40 -43 86 0
-12 -50 3 0
20 -61 56 0
93 69 21 0
49 -63 -46 0
-48 -27 7 0
40 27 -36 0
-84 -41 74 0
-87 -12 51 0
9 97 -37 0
-43 -9 -93 0
-47 -3 -50 0
35 -63 71 0
52 96 40 0
64 47 -96 0
-13 -42 38 0
-6 -14 -3 0
12 81 53 0
-15 53 -57 0
87 -100 -64 0
-21 -63 11 0
25 -18 -91 0
-13 -44 -24 0
64 89 47 0
59 -13 -8 0
-84 60 76 0
-41 -77 -52 0
7 61 97 0
-5 77 31 0
-59 97 -34 0
-83 -14 9 0
26 38 70 0
-68 -52 -76 0
-31 26 -19 0
-31 86 63 0
41 62 -76 0
22 -98 -61 0
4 -60 -65 0
-50 -76 82 0
-65 48 78 0
-78 -82 -54 0
-25 -99 -23 0
-51 40 46 0
-75 -27 1 0
9 14 -43 0
10 -5 -79 0
-97 -82 23 0
-39 42 65 0
-81 -3 -80 0
56 -94 85 0
-53 47 38 0
26 -28 55 0
19 -95 69 0
-25 -84 -7 0
-13 47 -73 0
56 -22 -39 0
71 -30 -41 0
9 90 -43 0
2 80 72 0
-1 96 -90 0
-32 -35 -43 0
50 19 16 0
-84 -10 -27 0
-4 68 83 0
42 69 92 0
-99 23 57 0
21 -78 99 0
-57 -69 -39 0
-62 49 -78 0
43 62 -70 0
53 -56 -28 0
-85 -25 -29 0
17 -3 49 0
-11 -89 48 0
-38 -78 -63 0
10 100 -94 0
21 -57 84 0
98 6 8 0
-44 32 5 0
69 18 -33 0
26 -58 -36 0
-66 -50 75 0
-61 -86 42 0
2 95 -26 0
67 2 58 0
